"Compound","mz","rt","221012_DGM_Blank1_1_1_390","221012_DGM_Blank1_1_2_391","221012_DGM_Blank1_1_3_392","221012_DGM_MB1588_3_1_395","221012_DGM_MB1588_3_2_396","221012_DGM_MB1588_3_3_397","221012_DGM_MB1589_4_1_398","221012_DGM_MB1589_4_2_399","221012_DGM_MB1589_4_3_400","221012_DGM_MB1590_5_1_401","221012_DGM_MB1590_5_2_402","221012_DGM_MB1590_5_3_403","221012_DGM_Blank2_1_1_404","221012_DGM_Blank2_1_2_405","221012_DGM_Blank2_1_3_406","221012_DGM_MB1591_6_1_407","221012_DGM_MB1591_6_2_408","221012_DGM_MB1591_6_3_409","221012_DGM_MB1592_7_1_410","221012_DGM_MB1592_7_2_411","221012_DGM_MB1592_7_3_412","221012_DGM_MB1593_8_1_413","221012_DGM_MB1593_8_2_414","221012_DGM_MB1593_8_3_415","221012_DGM_MB1594_9_1_416","221012_DGM_MB1594_9_2_417","221012_DGM_MB1594_9_3_418","221012_DGM_Blank3_1_1_419","221012_DGM_Blank3_1_2_420","221012_DGM_Blank3_1_3_421","221012_DGM_MB1595_10_1_422","221012_DGM_MB1595_10_2_423","221012_DGM_MB1595_10_3_424","221012_DGM_MB1597_11_1_425","221012_DGM_MB1597_11_2_426","221012_DGM_MB1597_11_3_427","221012_DGM_MB1598_12_1_428","221012_DGM_MB1598_12_2_429","221012_DGM_MB1598_12_3_430","221012_DGM_MB1599_13_1_431","221012_DGM_MB1599_13_2_432","221012_DGM_MB1599_13_3_433","221012_DGM_Blank4_1_1_434","221012_DGM_Blank4_1_2_435","221012_DGM_Blank4_1_3_436","kmd"
"444.32376 Da 367.32 s",445.33104,6.12,9431.201172,9375.501953,11358.50684,0,8337.797852,0,10015.66699,0,8197.521484,0,0,10323.26465,7702.244141,10584.02051,12193.11719,14129.75781,9379.59082,8432.901367,0,0,0,0,0,7108.79834,9905.196289,13208.81348,12682.9082,8957.665039,0,10499.9043,1612.5,0,5118.5,6783.814453,5827.788574,8979.198242,14395.86328,0,0,6711.171387,0,0,7921.814453,8167.48291,0,0.331039999999973
"819.55573 Da 401.01 s",820.56301,6.68,0,0,0,0,0,0,0,0,0,0,0,0,12908.68555,0,0,0,0,0,20127.89648,27258.91992,24579.02539,0,0,0,0,0,0,0,0,0,6122.634766,0,0,0,0,0,0,0,5778.276855,0,0,0,0,0,0,0.563009999999963
"997.30596 Da 605.90 s",998.31323,10.1,4737.963379,5368.339844,8886.186523,6487.566406,5098.134766,7221.981445,3677.248779,7537.40332,5752.518555,0,2196.179443,3738.643066,0,4055.486328,2704.658936,0,0,0,1100.022705,0,1438.891357,0,0,1790,0,0,0,0,0,1607.185669,0,0,0,0,1431.78418,0,0,0,0,0,0,0,0,0,0,0.313229999999976
"402.23417 Da 432.12 s",403.24145,7.2,0,0,0,0,4795.322754,0,14764.92188,0,13902.34668,7147.368164,6924.82666,0,0,0,0,6507.170898,7402.491699,9073.970703,14065.28809,0,14488.12988,8825.103516,0,0,22974.9082,18603.16992,19573.8457,2710.764893,0,0,22145.04883,30120.98633,28145.65039,15909.375,19394.4043,15297.47461,0,6468.801758,0,4029.685303,0,0,0,0,0,0.241449999999986
"615.45733 Da 353.87 s",616.46461,5.9,35127.88281,23427.62891,21367.73242,34342.94531,32393.47656,0,13286.54785,24431.02344,32506.84961,18020.91406,22881.23242,40458.73828,27988.96289,22800.39258,28569.30859,14042.02637,22040.67188,28350.52734,19761.36328,22290.16602,57498.20703,14891.44531,37391.53125,51889.81641,15404.81152,26638.56836,43304.76953,25822.62695,0,23237.43945,20254.94141,18563.99219,28655.1582,44567.53125,53291.51172,51817.38672,0,41399.19141,0,32476.5918,62594.28125,75612.49219,24167.87891,21590.4082,22139.63477,0.464609999999993
"818.51326 Da 500.28 s",819.52054,8.34,0,0,0,6852.035645,4076.872559,0,0,0,14296.0293,7874.32373,8167.359375,7086.291504,0,0,0,6800.983398,4761.394043,2987.562256,1159.975708,1491.709473,7547.67334,5558.933594,16026.8457,8994.09668,6815.648438,10641.00781,3599.744385,0,0,0,1200.441162,0,0,937.9747925,3409.689209,2097.073975,22313.99805,7867.882813,10805.13379,9649.089844,14421.1709,10250.55469,0,0,0,0.520539999999983
"872.26085 Da 534.99 s",873.26812,8.92,27512.7168,42274.28516,72473.48438,61414.82813,53811.84766,32926.48047,81813.6875,48222.32813,18649.05664,15246.02344,25404.88477,16267.52148,22756.95313,27870.375,12246.95508,12433.46582,12127.07129,0,0,0,0,0,12902.22949,9689.581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268119999999954
"449.25262 Da 349.13 s",450.25989,5.82,0,0,0,0,5687.586426,0,0,0,0,4825.972656,0,5562.358398,0,0,0,0,2925.885498,2453.056152,0,6289.214844,0,2521.796387,2990.809326,0,0,0,0,0,1256.459473,1727.808228,0,0,0,18946.62305,12305.87402,17644.91797,0,35752.61328,2144.437988,21284.0625,2942.200439,19839.72461,1385.356445,1452.691162,0,0.259889999999984
"502.29761 Da 607.03 s",503.30488,10.12,2983.804199,0,0,0,0,0,0,0,0,0,0,0,0,3965.104492,3349.233887,1395.083496,2316.66626,1474.634888,2395.700684,1377.873901,0,0,0,0,0,2242.722168,4312.302734,3404.381348,0,3308.358398,2108.424316,3705.506104,0,4053.14917,4468.272949,3347.498047,0,0,0,1675.976929,1487.408569,0,0,12088.07617,0,0.304880000000026
"429.37557 Da 478.27 s",430.38284,7.97,39632.86328,0,22300.85156,0,0,0,20974.41602,0,0,33650.11328,0,30932.36719,0,23922.00391,20812.23438,0,0,17956.95117,0,16944.85742,21785.23047,0,15115.08594,21190.91992,0,0,0,20976.48438,0,0,15069.41113,12724.45117,0,0,0,12370.43066,0,20588.48438,0,15044.90527,0,19385.13086,23457.5625,7596.337402,21940.75977,0.382839999999987
