"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
417,314.34,262.22990,33.055,"Farnesyl acetone","C18H30O",ION=[M+H]+,,,6258.19,537.68,6089.40,1278.06,258.10,76.88,6258.19,6134.23,5875.78
418,315.42,97.95324,,,,ION=[M+H]+,,,140394.27,136839.37,37301.70,135271.06,134852.78,140394.27,88758.92,8115.13,15031.04
419,316.89,276.22969,,,,ION=[M+H]+,,,5942.39,5038.05,2985.35,5942.39,3699.04,5472.72,3958.85,2100.43,2896.78
420,319.02,388.29799,,,,ION=[M+H]+,,,9480.51,90.81,8789.52,163.87,0.00,108.55,9480.51,8656.43,8231.63
421,319.70,271.21535,17.179,"N-Dodecanoyl-N-methylglycine","C15H29NO3",ION=[M+H]+,,,4549.21,9.06,4138.49,0.00,0.00,27.17,4226.55,4549.21,3639.71
422,319.82,98.96154,,,,ION=[M+H]+,,,136235.81,92299.96,40820.84,136235.81,8607.27,132056.80,99627.78,11959.67,10875.06
423,320.03,391.31204,35.241,"Palmitoyl dopamine","C24H41NO3",ION=[M+H]+,,"136181-87-8",3677.34,49.83,3403.21,149.48,0.00,0.00,3677.34,3447.54,3084.75
424,320.61,218.18838,,,,ION=[M+H]+,,,5843.19,3418.02,5295.64,2731.52,3658.67,3863.87,4635.80,5843.19,5407.91
425,321.16,461.38615,,,,ION=[M+H]+,,,6524.91,16.17,5862.92,0.00,0.00,48.52,4643.72,6420.12,6524.91
426,322.44,709.46579,,,,ION=[M+H]+,,,70379.77,15.13,67348.71,45.40,0.00,0.00,63112.11,68554.23,70379.77
427,324.39,367.41749,,,,ION=[M+H]+,,,414645.88,357397.35,389679.72,250536.38,414645.88,407009.81,401211.13,385972.28,381855.75
428,324.46,266.16478,10.730,"Tributyl phosphate","C12H27O4P",ION=[M+H]+,"C14439","126-73-8",8804.15,7289.48,7716.51,8804.15,5891.55,7172.74,7826.76,7590.50,7732.26
429,325.91,283.90413,,,,ION=[M+H]+,,,153530.28,105780.24,66154.55,149349.34,153530.28,14461.09,99741.44,0.00,98722.20
430,327.09,199.96552,,,,ION=[M+H]+,,,285034.47,181240.31,71550.42,246227.95,285034.47,12458.52,7931.11,110902.88,95817.27
431,327.25,403.22072,NA,"2-[5-cyclopropyl-3-(morpholine-4-carbonyl)pyrazol-1-yl]-N-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide","C20H29N5O4",ION=[M+H]+,,,8760.63,12.04,7989.75,0.00,0.00,36.12,8760.63,7513.14,7695.49
432,328.54,264.13452,,,,ION=[M+H]+,,,5121.28,1316.55,4974.34,208.76,666.47,3074.43,4871.15,5121.28,4930.60
