"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"181","mz263.01344rt0.76","263.013436","0.757","omu41","",0,0,0,12604.05,12620.44,12877.17
"182","mz282.04941rt0.77","282.049406","0.773666666666667","omu42","",0,0,0,7034.25,6277.26,5916.17
"183","","70.074726","0.806666666666667","","",0,0,0,103974.61,120160.2,97174.77
"187","","117.055026","0.836","","",0,0,0,19594.55,25690.81,21031.14
"192","mz129.01808rt1.16","129.018076","1.15866666666667","omu43","",0,0,0,24970.19,18854.85,18654.55
"193","mz186.03894rt1.22","186.038936","1.217","omu44","",0,0,0,47519.93,46976.79,52193.91
"198","","97.028286","1.27583333333333","","",0,0,0,9731.7,12084.17,8209.43
"205","mz59.04906rt0.46","59.048986","1.8045","omu45","",0,0,0,273212.44,409198.38,350554.78
"207","mz239.16175rt1.87","239.161756","1.86933333333333","omu46","",0,0,0,47517.84,36511.93,35666.32
"216","","138.123576","2.17366666666667","","",0,0,0,30858.27,36665.67,37515.91
"217","","121.028456","2.17616666666667","","",0,0,0,15837.86,14839.25,15683.17
"218","","77.013006","2.17883333333333","","",0,0,0,8929.21,6720.89,6582.39
"220","","65.038246","2.18133333333333","","",0,0,0,8254.94,6831.9,6656.03
"223","mz205.06085rt2.32","205.060856","2.31766666666667","omu47","",0,0,0,5424.17,6076.86,6775.01
"232","mz389.25912rt2.53","389.2591126","2.53116666666667","omu48","",0,0,0,3847.96,4468.45,3774.11
"234","mz382.25183rt2.54","382.2518226","2.53916666666667","omu49","",0,0,0,31361.19,27068.78,26734.31
"237","","159.102466","2.5785","","",0,0,0,40180.4,38480.78,39854.37
"238","mz115.07517rt2.58","115.075176","2.57883333333333","omu50","trans-2-Hexenoic acid",0,0,0,651730.63,652030.44,683716.25
"240","mz158.11871rt2.58","158.118706","2.58383333333333","omu51","",0,0,0,71424.26,70964.73,75555.9
"243","mz383.25986rt2.63","383.2598526","2.63083333333333","omu148","",0,0,0,29763.3,31038,33399.14
"244","mz96.00889rt2.64","96.008896","2.63583333333333","omu52","",0,0,0,34979.84,36001.09,31077.98
"246","mz87.00371rt2.64","87.0036976","2.6385","omu53","",0,0,0,176335.14,161627.67,152933.67
"247","mz389.27762rt2.72","389.2776076","2.723","omu54","",0,0,0,274001.63,274910.13,268262.72
"248","mz382.26972rt2.73","382.2697176","2.7285","omu148","",0,0,0,516832.19,523477.44,528520.44
