"rowname" "name" "value"
"302" "F3D7" "F3D0" 0.425
"303" "F3D7" "F3D144" 0.41
"304" "F3D7" "F3D1" 0.475
"305" "F3D0" "F3D9" 0.385
"306" "F3D0" "F3D8" 0.43
"307" "F3D0" "F3D6" 0.4125
"308" "F3D0" "F3D2" 0.44
"309" "F3D0" "F3D150" 0.325
"310" "F3D0" "F3D147" 0.375
"311" "F3D0" "F3D149" 0.265
"312" "F3D0" "F3D3" 0.4775
"313" "F3D0" "F3D142" 0.335
"314" "F3D0" "F3D148" 0.285
"315" "F3D0" "F3D146" 0.345
"316" "F3D0" "F3D145" 0.3575
"317" "F3D0" "F3D5" 0.4175
"318" "F3D0" "F3D141" 0.3125
"319" "F3D0" "F3D143" 0.315
"320" "F3D0" "F3D7" 0.425
"321" "F3D0" "F3D0" 0
"322" "F3D0" "F3D144" 0.355
"323" "F3D0" "F3D1" 0.425
"324" "F3D144" "F3D9" 0.4375
"325" "F3D144" "F3D8" 0.5075
"326" "F3D144" "F3D6" 0.4375
"327" "F3D144" "F3D2" 0.48
"328" "F3D144" "F3D150" 0.365
"329" "F3D144" "F3D147" 0.19
"330" "F3D144" "F3D149" 0.26
"331" "F3D144" "F3D3" 0.4
"332" "F3D144" "F3D142" 0.2625
"333" "F3D144" "F3D148" 0.24
"334" "F3D144" "F3D146" 0.255
"335" "F3D144" "F3D145" 0.1775
"336" "F3D144" "F3D5" 0.3875
"337" "F3D144" "F3D141" 0.29
"338" "F3D144" "F3D143" 0.2325
"339" "F3D144" "F3D7" 0.41
"340" "F3D144" "F3D0" 0.355
"341" "F3D144" "F3D144" 0
"342" "F3D144" "F3D1" 0.5475
"343" "F3D1" "F3D9" 0.35
"344" "F3D1" "F3D8" 0.405
"345" "F3D1" "F3D6" 0.4325
"346" "F3D1" "F3D2" 0.32
"347" "F3D1" "F3D150" 0.5325
"348" "F3D1" "F3D147" 0.5775
"349" "F3D1" "F3D149" 0.485
"350" "F3D1" "F3D3" 0.3875
"351" "F3D1" "F3D142" 0.5
"352" "F3D1" "F3D148" 0.5
"353" "F3D1" "F3D146" 0.51
"354" "F3D1" "F3D145" 0.5675
"355" "F3D1" "F3D5" 0.36
"356" "F3D1" "F3D141" 0.47
"357" "F3D1" "F3D143" 0.53
"358" "F3D1" "F3D7" 0.475
"359" "F3D1" "F3D0" 0.425
"360" "F3D1" "F3D144" 0.5475
"361" "F3D1" "F3D1" 0
