"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","newJC1_Blank-expanded-gradient_MeanIntensity","newJC1_Coculture-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_Coculture-0-25-mg_mL-expanded-gradient_MeanIntensity","X121523_Blank_expanded_gradient_73_1_6075","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6077","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6080","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6081","X121523_Blank_expanded_gradient_73_1_6082","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6083","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6085","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6088","X121523_Blank_expanded_gradient_73_1_6089","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6090","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6094","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6095"
3649,423.11,1504.83335,347.59546,155.208,"","C41H120N26O31S","ION=[M+H+H]2+","","",4417,0,0,0,1948.3,4142.75,441.82,0,0,0,0,2090.39,4156.25,389.72,0,0,0,0,0,2074.76,3855,478.05,0,0,0,1679.75,4417,0,457.7
3650,424.25,460.27852,206.19623,43.482,"NPA029554","C27H40O6","ION=[M+H]+","","",2756.42,0,0,0,760.22,2296.05,0,0,0,0,0,890.66,2756.42,0,0,0,0,0,0,705.31,1992.64,0,0,0,0,684.69,2139.08,0,0
3651,423.28,796.46761,266.85623,13.22,"","C40H70N4O8P2","ION=[M+H]+","","",11978.13,0,0,2182.85,7329.73,11487.55,2697.37,0,0,0,2291.39,7093.31,11978.13,2605.47,0,0,0,0,2274.99,7451.88,10606.31,2830.35,0,1982.15,0,7444,11878.21,0,2656.29
3652,423.26,566.30535,152.0325,20.239,"","C23H34N16O2","ION=[M+H]+","","",5074.83,0,0,970.28,3536.38,4950.9,1302.11,0,0,0,958.52,3801.21,5074.83,1284.46,0,0,0,0,993.26,3361.74,4705.41,1348.73,0,959.05,0,3446.19,5072.45,0,1273.14
3653,424.13,222.14728,162.97417,NA,"","C11H26S2","ION=[M+H]+","","",2101.24,0,0,436.33,700.41,0,0,0,0,0,528.04,2101.24,0,0,0,0,0,0,365.14,0,0,0,0,415.83,0,0,0,0,0
3654,422.34,228.14571,168.5149,NA,"NPA016847","C11H20N2O3","ION=[M+H]+","","",2620.21,0,0,386.29,598.11,2287.11,487.65,0,0,0,0,0,1990.49,732.33,0,0,0,0,582.27,1794.34,2250.64,0,0,576.59,0,0,2620.21,0,730.63
3655,423.44,637.34589,145.31386,120.843,"NPA031493","C33H51NO11","ION=[M+H]+","","",1582.73,0,0,205.07,1354.49,1417.06,120.55,0,0,0,364.28,1498.06,1475.98,0,0,0,0,0,0,1171.48,1192.47,361.65,0,250.92,0,1393.94,1582.73,0,0
3656,422.71,1503.82961,433.96878,170.188,"","C46H119KN27O24P","ION=[M+H+H2]3+","","",1848.46,0,0,0,1515.16,1587.46,0,0,0,0,0,1629.52,1454.95,0,0,0,0,0,0,1067.5,1656.81,0,0,0,0,1848.46,1650.63,0,0
3657,423.73,458.21545,207.6013,24.732,"","C20H22N14","ION=[M+H]+","","",1764.33,0,1650.97,0,0,0,0,535.09,0,1634.69,0,0,0,0,667.04,0,493.8,1553.9,0,0,0,0,0,0,1764.33,0,0,444.42,0
3658,423.94,460.27862,149.41835,3.316,"NPA022017","C27H40O6","ION=[M+H]+","","",60927.75,0,0,12597.25,34882.75,60323.07,19394.18,0,0,0,12676.73,34760.78,59275.93,19261.37,0,0,0,0,12913.35,35606.59,60927.75,19402,0,12201.67,0,34280.89,60765.51,0,19519.17
3659,423.63,626.342,232.18407,15.418,"","C34H51N4O3PS","ION=[M+H]+","","",18586.93,0,0,2476.07,9327.68,18226.97,4407.04,0,0,0,2432.74,8846.89,18022.95,4405.29,0,0,0,0,2452.29,9875.96,18586.93,4523.25,0,2543.19,0,9260.18,18071.04,0,4292.57
3660,423.68,637.34345,233.80713,31.541,"","C21H53N9O9P2","ION=[M+H]+","","",1665.64,0,0,0,913.12,1423.52,155.48,0,0,0,0,1013.07,1166.81,466.45,0,0,0,0,0,956.29,1665.64,0,0,0,0,769.98,1438.11,0,0
3661,423.85,250.14194,154.11826,14.904,"NPA018556","C12H18N4O2","ION=[M+H]+","","",4639.2,0,0,906.72,2727.85,4414.28,1643.52,0,0,0,744.11,2444.76,4174.65,1609.2,0,0,0,0,906.81,2938.52,4639.2,1657.63,0,1069.24,0,2800.25,4428.98,0,1663.74
3662,424.32,452.29899,202.30164,26.804,"","C23H40N4O5","ION=[M+H]+","","",6242.95,0,0,1654.06,4944.5,6109.4,1811.65,0,0,0,1719.8,4798.51,6242.95,1957.26,0,0,0,0,1587.23,5277.13,5864.58,1735.31,0,1655.15,0,4757.85,6220.68,0,1742.37
3663,423.05,404.23803,182.52643,23.151,"","C16H32N6O6","ION=[M+H]+","","",1915.15,0,1742.76,0,0,0,0,337.04,0,1493.26,0,0,0,0,498.02,0,513.09,1819.87,0,0,0,0,0,0,1915.15,0,0,0,0
3664,425.29,1116.61713,349.68503,66.972,"NPA032077","C52H84N12O15","ION=[M+H+H]2+","","",4028.66,0,0,1023.62,2972.45,3639.71,897.49,0,0,0,1195.2,3135.66,3331.82,891.96,0,0,0,0,984.72,2846.07,3558.64,879.41,0,890.95,0,2935.61,4028.66,0,921.09
3665,423.78,454.31439,206.26521,43.735,"","C22H46O9","ION=[M+H]+","","",6444.61,0,0,2102.49,6245.55,5974.97,1813.66,0,0,0,2239.12,6030.08,6046.3,1587.68,0,0,0,0,1939.5,6261.96,6044.83,1834.39,0,2128.83,0,6444.61,5833.79,0,2018.9
3666,423.89,432.28441,149.81229,29.943,"NPA011444","C26H40O5","ION=[M+H]+","","",8825.51,0,0,1941.3,4917.73,8482.29,2932.91,0,0,0,1862.2,4972.35,8292.86,2820.28,0,0,0,0,1950.3,5148.92,8825.51,2969.7,0,2011.41,0,4631.92,8328.5,0,3008.75
3667,425.19,601.35471,231.12903,67.729,"","C41H47NO3","ION=[M+H]+","","",5409.98,0,0,1222.79,4684.3,5251.43,1299.61,0,0,0,1101.7,4659.46,5409.98,1239.54,0,0,0,0,1239.24,4828.35,5095.77,1371.89,0,1327.43,0,4565.1,5248.52,0,1287.39
3668,423.86,461.28228,157.56909,74.103,"NPA017305","C26H39NO6","ION=[M+H]+","","",5914.88,0,0,1424.31,5546.29,0,3018.62,0,0,0,1481.65,5155.78,0,2927.88,0,0,0,0,1393.92,5914.88,0,3167.31,0,1397.36,0,5568.2,0,0,2960.67
3669,424.42,1251.72136,366.61832,17.588,"","C53H94N27O3PS2","ION=[M+H+H]2+","","",7365.14,0,0,1313.18,4795.04,7000.94,1917.52,0,0,0,1337.02,4826.69,6770.41,2039.17,0,0,0,0,1259.09,4678.69,6867.26,1860.64,0,1343.42,0,4879.74,7365.14,0,1852.74
