"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"87","","132.914686","0.117666666666667","","",3311.63,3230.72,3561.89,1083.2,3499.69,431.53
"88","","566.888856","0.117833333333333","","",53156.85,63036.22,65005.41,24144.12,62527.73,1223.8
"89","","838.838606","0.118","","",26352.94,33894.69,34401.8,13632.53,32442.14,10.07
"90","","158.922676","0.118333333333333","","",9533.35,10259.98,10242.62,3747.2,10175.89,1650.18
"91","","362.926296","0.1185","","",73948.58,85329.4,89059.16,35579.54,86776.35,4989.24
"92","","266.890956","0.1185","","",2946.35,3793.72,3865.35,1300.7,3966.79,96.29
"93","","1246.762826","0.118666666666667","","",4963.23,7362.34,7395.85,2967.5,7080.19,0
"94","","702.863506","0.118666666666667","","",42918.01,53547.03,54467.18,21515.06,52939.77,443.29
"95","","127.953016","0.118666666666667","","",23768.9,23759.79,24329.39,9240.25,24950.88,4026.46
"96","","906.825756","0.119166666666667","","",24862.79,31257.74,32430.8,12423,29992.2,0
"97","","634.875946","0.119166666666667","","",45761.98,55787.86,58356.59,23378.38,55555.71,476.71
"98","","208.014446","0.119333333333333","","",23747.1,25621.84,26233.87,7657.32,29239.19,7944.21
"99","","770.850706","0.1195","","",27740.62,34276.91,36171.75,14201,34037.82,19.4
"100","","171.943226","0.1195","","",25956.51,26655.91,27346.43,10169.41,26537.53,5710.74
"101","","498.901076","0.12","","",54915.96,63309.18,66402.52,23566.97,63661.82,1422.54
"102","","1178.774326","0.120166666666667","","",6747.79,9854.26,9592.91,3870.31,9283.62,0
"103","","1110.788446","0.1205","","",8368.96,11242.02,11505.74,4676.63,10915.97,0
"104","","1042.800616","0.120833333333333","","",9899.59,12937.94,13477.97,5263.42,12936.77,0
"105","","974.813336","0.121166666666667","","",16491.96,21991.46,22630,8617.82,21210.52,0
"106","","430.913926","0.121333333333333","","",63522.82,70831.35,76012.27,27710.32,72542.54,4118.26
"107","","1076.795156","0.122166666666667","","",1655.75,2309.86,2349.1,657.5,2018.8,0
"108","","198.019086","0.123","","",15017.28,15240.67,15508.67,5244.26,17687.87,6577.51
"110","","1212.769546","0.123333333333333","","",1029.05,1812.54,1566.74,438.41,1356.87,0
"111","","1144.784146","0.1235","","",1552.82,2206.67,2182.69,537.7,1896.86,0
"112","","1008.807236","0.123833333333333","","",1942.72,2849.25,2743.55,654,2501.61,0
"113","","81.953476","0.128333333333333","","",1368.13,6092.27,5901.63,472.3,7152.68,159.62
"114","","924.775406","0.131166666666667","","",4057.71,3277.59,3298.08,1221.55,3407.6,0
"115","","992.762926","0.131666666666667","","",2307.43,2316.55,2167.92,258.98,2270.83,5.26
"116","","205.894676","0.131666666666667","","",7673.62,1522.22,8581.25,6432.74,8706.45,23.89
"117","","923.775076","0.133166666666667","","",3228.42,3093.5,3084.86,347.85,1963,24.91
"118","","855.786836","0.1355","","",3419.52,2366.41,2737.08,736.62,2295.89,0
"119","mz98.51184rt0.14","98.511836","0.135833333333333","omu259","",44.75,4763.48,5175.29,2041.13,26877.48,7558.26
"120","","940.820166","0.136166666666667","","",2532.22,3326.68,3147.62,1650.18,2959.28,0
"121","","651.825716","0.1375","","",3564.64,4452.65,3116.94,928.76,3053.22,0
"122","","452.858616","0.138833333333333","","",2599.48,3505.4,3421.19,219.46,3624.12,2099.43
"123","","856.787766","0.141333333333333","","",4619.18,3817.47,3554.86,3210.16,3759.59,13.39
"124","","82.995146","0.141666666666667","","",5036.27,4382.66,888.71,251.2,0,30.17
"125","","243.885576","0.141666666666667","","",8360.64,8511.89,3986.78,4453.28,3880.49,3.11
"126","","788.799686","0.142666666666667","","",4293.89,3209.35,3516.36,3159.83,3477.89,96.74
"127","","382.873486","0.143166666666667","","",2879.28,3923.29,2408.35,774.7,4732.27,1574.56
"128","","583.838306","0.143666666666667","","",2966.09,2875.29,2548.3,781.13,3726.73,49.85
"129","","515.851516","0.144","","",4557.04,3219.45,3381.82,920.76,3282.18,4.44
"130","","448.863266","0.144166666666667","","",11209.61,8638.19,8612.46,9452.58,9361.36,5379
"131","","720.813756","0.144333333333333","","",6070.24,4872.11,4675.62,4507.14,5241.68,0
"132","","244.901856","0.144833333333333","","",4053.91,3853.87,3758.83,4919.82,4624.21,7997.53
"133","","312.888836","0.145333333333333","","",12328.78,9726.09,9711.23,10860.3,10275.85,16048.5
"134","","447.863766","0.145333333333333","","",5362.82,5014.85,3209.89,1210.11,3274.29,1378.5
"135","","316.884826","0.145833333333333","","",4067.91,3693.21,3748.04,3862.69,3879.6,6204.98
"136","","380.875666","0.147","","",7718.38,7294.81,7436.44,8354.63,8117.55,2758.51
"137","","652.825696","0.147666666666667","","",5915.01,5319.52,5238.96,4980.54,5499.46,715.34
"138","","584.837926","0.149333333333333","","",6151.23,4615.16,4876.63,4756.93,5005.22,842.51
"139","","379.876746","0.150666666666667","","",3219.49,2964.52,2708.3,794.22,3225.99,652.2
"140","","311.888766","0.151333333333333","","",3479.01,3372.07,2954.08,917.15,3220.43,1370.97
"141","","719.814366","0.151333333333333","","",4442.57,3130.28,2956.41,1572.41,3013.04,23.95
"142","","91.000946","0.1525","","",10119.88,9622.75,0,2535.12,13905.98,4970.57
"143","","516.850576","0.153166666666667","","",8413.47,6166.52,6440.65,6643.93,6800.16,1425.2
"146","","384.871366","0.163833333333333","","",55.44,2721.08,2740.78,3000.58,3086.9,27.66
"147","","370.864556","0.165666666666667","","",2679.36,2313.73,1992.06,2178.72,2927.15,16.3
"148","","107.959056","0.172666666666667","","",6453.62,5629.36,2108.4,1009.73,8009.22,2871.44
"149","","84.080546","0.173666666666667","","",772.46,3181.32,2870.08,1713.83,5299.88,15
"150","","43.054236","0.179166666666667","","",22706.08,23273.17,24125.89,14218.23,36084.86,23547.3
"152","","169.960236","0.1875","","",11317.93,8579.87,7593.29,3180.19,9246.13,1787.43
"153","","372.862726","0.188833333333333","","",2599.96,629.99,2069.79,2269.31,2174.23,0
"155","","77.998726","0.1935","","",0,9851.2,0,7477.15,15506.7,671.5
"156","","700.978706","0.195333333333333","","",8498.83,9409.18,8550.86,2462.74,9553.92,33.41
"157","","185.983516","0.567666666666667","","",3812.43,5029.64,3705.6,371.38,1424.26,3845.32
"158","","67.509886","0.567833333333333","","",7648.64,6714.65,4748.43,612.87,0,27485.63
