Compound,mz,rt,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12871,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12872,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12873,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12912,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12938,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12966,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12909,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12935,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12964,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12913,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12931,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12960,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12910,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12933,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12957,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12914,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12940,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12963,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12911,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12936,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12958,kmd
543.32410 Da 321.28 s,544.33138,5.35,0,0,0,0,1001.661011,0,11338.92578,14364.20215,14363.14551,0,0,0,5949.922363,6677.666016,7774.186035,0,0,0,5750.059082,5250.970215,5651.684082,0.331379999999967
507.36273 Da 321.36 s,508.37,5.36,0,0,0,3749.889893,0,0,0,643.9404907,0,0,0,0,5963.836914,0,0,0,0,0,9284.432617,7135.699219,9504.686523,0.370000000000005
421.27775 Da 321.41 s,422.28502,5.36,0,0,0,0,0,0,0,0,1111.625488,0,0,0,0,0,0,0,0,0,3477.083496,3043.67334,2607.209717,0.285019999999975
693.41378 Da 321.56 s,694.42106,5.36,0,0,0,1201.526245,1012.008667,1211.903442,9852.644531,13642.75977,10577.4707,0,0,0,0,0,0,526.1315918,325.0709229,0,3635.437256,4018.070557,3692.289307,0.421060000000011
400.27531 Da 321.51 s,401.28259,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.6795044,0,0,0,0,0,0.282590000000027
341.28929 Da 321.75 s,342.29657,5.36,8067.140137,8160.216797,8931.841797,8644.3125,9466.712891,8274.060547,11913.69824,12770.52344,9846.4375,9850.009766,9231.052734,8566.011719,23031.28125,21537.88281,21439.98633,8811.972656,7981.942383,7001.862305,11982.84668,13723.21973,12216.4043,0.296569999999974
338.33380 Da 322.17 s,339.34108,5.37,1003.926025,1237.399292,1380.110718,1754.95105,1382.575928,1537.38562,3964.290527,2323.454346,2271.563232,1327.870239,1353.218018,1247.246826,2564.203125,2219.563477,2371.145996,1312.724243,1146.761353,1102.156616,1817.370117,1667.432739,1882.340576,0.341079999999977
369.32014 Da 321.93 s,370.32741,5.37,2473.123047,2267.84082,2502.827393,1825.739258,2078.503174,1695.444092,2835.720459,0,0,2195.549561,1953.356689,1931.893066,4437.491211,4421.439453,2370.939453,2018.384399,2111.345703,2045.258301,2128.348145,3146.842285,2451.568604,0.327409999999986
717.41090 Da 321.70 s,718.41818,5.36,0,0,0,0,0,926.137085,7560.180664,9492.933594,10588.17188,0,0,0,0,0,0,0,0,273.1996765,0,0,2783.997803,0.418180000000007
443.35493 Da 321.90 s,444.36221,5.36,0,0,0,0,0,0,0,0,0,1024.88855,0,0,7931.849609,6534.476563,6790.196289,367.6016235,0,0,0,3196.423828,0,0.362210000000005
334.26854 Da 322.06 s,335.27581,5.37,0,1845.579102,1835.332642,1759.696167,1794.520996,0,0,0,0,1954.78064,0,1886.468384,0,0,0,1733.689819,1945.098267,1661.60791,0,0,0,0.275809999999979
415.32509 Da 322.56 s,416.33236,5.38,0,0,0,584.6130981,686.6687012,0,0,0,0,1143.988525,0,840.8876343,8453.394531,7204.72998,7589.940918,0,0,673.5245972,2189.252441,2605.272949,2194.732422,0.332359999999994
296.23183 Da 322.19 s,297.23911,5.37,1058.258545,1044.96814,1220.286621,1353.832764,1286.295776,1053.703491,2376.915283,0,0,1389.22583,1175.963501,1027.227905,2897.672852,3072.520264,2361.890137,1441.96106,1011.296875,1202.954102,1977.173096,0,1618.215698,0.239109999999982
477.31626 Da 322.30 s,478.32354,5.37,0,0,0,990.5314941,0,592.1107788,5449.232422,3789.848633,4491.880859,0,0,0,963.4815063,519.0460815,0,216.8085785,268.866394,0,2128.915283,2970.430664,1964.100708,0.32353999999998
