"Bucket label","RT","m/z","Formula","121523_Blank_expanded_gradient_73_1_6075","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6077","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6080","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6081","121523_Blank_expanded_gradient_73_1_6082","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6083","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6085","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6088","121523_Blank_expanded_gradient_73_1_6089","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6090","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6094","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6095"
"newJC1",,,,"Blank expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Blank expanded gradient","Coculture 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Blank expanded gradient","JC1 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient"
"667.32143 Da 331.92 s",5.531986,668.32871,"C29H42N13O4P",0.0,0.0,0.0,1058.4847412109375,2813.545166015625,708.1841430664062,0.0,0.0,0.0,0.0,0.0,1110.0875244140625,2460.80126953125,558.0994262695312,0.0,299.3449401855469,0.0,1200.9688720703125,2290.812255859375,0.0,610.671630859375
"135.05280 Da 333.31 s",5.555200,136.06007,"C4H9NO4",0.0,1885.953125,0.0,0.0,0.0,0.0,570.3323364257812,0.0,0.0,2245.348388671875,0.0,0.0,0.0,0.0,0.0,0.0,2035.0770263671875,0.0,0.0,0.0,0.0
"234.13551 Da 333.35 s",5.555834,235.14279,"C13H18N2O2",0.0,0.0,0.0,0.0,1441.70361328125,0.0,0.0,0.0,0.0,0.0,0.0,1103.69580078125,1414.2669677734375,0.0,0.0,0.0,0.0,1042.7779541015625,1645.605224609375,0.0,0.0
"135.06650 Da 333.63 s",5.560490,136.07378,,0.0,0.0,476.88720703125,1312.2755126953125,2959.35693359375,820.7686767578125,0.0,0.0,0.0,0.0,0.0,1497.79638671875,2562.25634765625,646.1405639648438,0.0,523.6543579101562,0.0,1262.2099609375,2426.536376953125,0.0,780.3367309570312
"512.20150 Da 333.91 s",5.565169,513.20878,"C28H32O9",0.0,0.0,0.0,0.0,1824.4322509765625,543.7418212890625,0.0,0.0,0.0,0.0,0.0,0.0,1348.276611328125,558.824951171875,0.0,0.0,0.0,0.0,1707.520751953125,0.0,0.0
"131.07161 Da 334.06 s",5.567595,132.07889,,0.0,1753.378173828125,0.0,0.0,0.0,0.0,709.1441650390625,0.0,729.821533203125,1818.007080078125,0.0,0.0,0.0,0.0,0.0,0.0,2183.93701171875,0.0,0.0,530.0963745117188,0.0
"1215.66088 Da 334.07 s",5.567774,608.83771,"C41H96N21O15P3",0.0,0.0,0.0,1502.8533935546875,1527.3424072265625,535.7353515625,0.0,0.0,0.0,0.0,501.57305908203125,1476.6129150390625,1577.602294921875,441.2812194824219,0.0,501.34930419921875,0.0,1667.8018798828125,1689.2406005859375,0.0,528.66259765625
"1198.57215 Da 334.30 s",5.571746,600.29335,"C57H74N20O8S",0.0,0.0,3426.83837890625,11211.50390625,14237.2724609375,4074.326171875,0.0,0.0,0.0,0.0,3364.307861328125,10470.9814453125,14911.3525390625,4110.46142578125,0.0,3322.770751953125,0.0,11051.8154296875,14228.751953125,0.0,3921.802978515625
"640.25920 Da 334.38 s",5.572966,641.26648,"C34H41ClN2O8",0.0,0.0,0.0,0.0,3265.11181640625,1060.031982421875,0.0,0.0,0.0,0.0,0.0,1352.7421875,3349.085205078125,828.7268676757812,0.0,0.0,0.0,1174.3726806640625,3486.4052734375,0.0,938.0244140625
"617.27395 Da 334.41 s",5.573453,618.28123,"C36H44NO4PS",0.0,0.0,824.5760498046875,2919.608154296875,0.0,0.0,0.0,0.0,0.0,0.0,933.8955078125,2354.2978515625,0.0,0.0,0.0,740.987060546875,0.0,2102.564453125,0.0,0.0,0.0
